Inview Now
--------------------------------------------------------------------
Satellite				Elevation	Azimuth		Frequency			Latitude			Longitude
STARS (KUKAI)           		-45		200		437.485 			-23.769892733257702		35.568884726017096
KKS-1 (KISEKI)          		-69		97		437.445 			-23.769892733257702		35.568884726017096
NOAA 19                 		-71		120		137.100/1698.000		-23.769892733257702		35.568884726017096
METEOR-M 1              		-76		162		137.100/137.900			-23.769892733257702		35.568884726017096
SWISSCUBE               		-61		126		437.505 			-23.769892733257702		35.568884726017096
BEESAT                  		-39		68		436.000 			-23.769892733257702		35.568884726017096
ITUPSAT 1               		-48		239		437.325 			-23.769892733257702		35.568884726017096
TISAT 1                 		-26		310		437.305 			-23.769892733257702		35.568884726017096
RASAT                   		-49		160		437.400			-23.769892733257702		35.568884726017096
JUGNU                   		-50		262		437.505 			-23.769892733257702		35.568884726017096
SRMSAT                  		-45		45		437.500 			-23.769892733257702		35.568884726017096
M-CUBED & EXP-1 PRIME   		-27		267		437.505 			-23.769892733257702		35.568884726017096
LARES                   		-79		220						-23.769892733257702		35.568884726017096
GONETS-M 4              		-33		108						-23.769892733257702		35.568884726017096
STRAND-1                		-27		213		437.568 			-23.769892733257702		35.568884726017096
SOMP                    		-62		95		437.485 			-23.769892733257702		35.568884726017096
BEESAT-3                		-51		247		435.950 			-23.769892733257702		35.568884726017096
NEE-01 PEGASUS          		-7		102		910.000(bandwidth 25MHz)		-23.769892733257702		35.568884726017096
ESTCUBE 1               		-61		326		437.505/2401.250		-23.769892733257702		35.568884726017096
ZACUBE-1 (TSHEPISOSAT)  		0		260		437.355 			-23.769892733257702		35.568884726017096
OPTOS                   		-25		66						-23.769892733257702		35.568884726017096
WNISAT-1                		-4		30		467.674 			-23.769892733257702		35.568884726017096
TRITON-1                		-74		174		145.818/145.823			-23.769892733257702		35.568884726017096
DOVE 3                  		-70		141						-23.769892733257702		35.568884726017096
GOMX 1                  		-72		213		437.250 			-23.769892733257702		35.568884726017096
FIRST-MOVE              		-13		238		145.970 			-23.769892733257702		35.568884726017096
CUBEBUG-2 (LO-74)       		-67		77		437.445 			-23.769892733257702		35.568884726017096
NEE-02 KRYSAOR          		-71		188		980.000(bandwidth 25MHz)		-23.769892733257702		35.568884726017096
FUNCUBE-1 (AO-73)       		-38		30		145.970-145.950			-23.769892733257702		35.568884726017096
UWE-3                   		-72		76		435.000/436.395/437.385*		-23.769892733257702		35.568884726017096
UNIFORM 1               		-36		338		2228.000 			-23.769892733257702		35.568884726017096
SOCRATES                		-75		260						-23.769892733257702		35.568884726017096
RISING 2                		-64		313		2401.xxx			-23.769892733257702		35.568884726017096
SPROUT                  		-74		237		437.525 			-23.769892733257702		35.568884726017096
UNISAT-6                		-33		182		437.425 			-23.769892733257702		35.568884726017096
BUGSAT-1 (TITA)         		-1		12		437.445 			-23.769892733257702		35.568884726017096
SAUDISAT 4              		-38		353						-23.769892733257702		35.568884726017096
DUCHIFAT-1              		-34		133		145.825/145.980			-23.769892733257702		35.568884726017096
NANOSATC-BR1            		-68		156		145.865 			-23.769892733257702		35.568884726017096
DTUSAT-2                		-40		141		2401.835 			-23.769892733257702		35.568884726017096
PERSEUS-M1              		-22		137		400.160/400.170*		-23.769892733257702		35.568884726017096
POLYITAN-1              		-73		164		437.677 			-23.769892733257702		35.568884726017096
TIGRISAT                		-5		336		435.000 			-23.769892733257702		35.568884726017096
METEOR-M 2              		-5		194		137.100/137.900			-23.769892733257702		35.568884726017096
DX1                     		-17		22		434.975-435.025			-23.769892733257702		35.568884726017096
UKUBE-1                 		-56		236		145.950-145.930			-23.769892733257702		35.568884726017096
HODOYOSHI-1             		-55		171		467.674 			-23.769892733257702		35.568884726017096
FIREBIRD 3              		-15		323		437.396*/437.405		-23.769892733257702		35.568884726017096
FIREBIRD 4              		-49		288		437.219*/437.230		-23.769892733257702		35.568884726017096
GRIFEX                  		-75		243		437.480 			-23.769892733257702		35.568884726017096
EXOCUBE                 		-40		119		437.270 			-23.769892733257702		35.568884726017096
NUDT-PHONESAT           		-55		56		437.300			-23.769892733257702		35.568884726017096
XW-2A                   		-35		15		145.685-145.665			-23.769892733257702		35.568884726017096
XW-2C                   		-8		280		145.815-145.795			-23.769892733257702		35.568884726017096
XW-2D                   		-18		257		145.880-145.860			-23.769892733257702		35.568884726017096
LILACSAT 2              		-5		294		144.390/437.225*		-23.769892733257702		35.568884726017096
XW-2F                   		-75		107		146.000-145.980			-23.769892733257702		35.568884726017096
XW-2B                   		-47		55		145.750-145.730			-23.769892733257702		35.568884726017096
KAITUO 1B               		-77		142		145.475*/437.950		-23.769892733257702		35.568884726017096
TIANWANG 1C (TW-1C)     		-45		192		435.645 			-23.769892733257702		35.568884726017096
TIANWANG 1A (TW-1A)     		-24		211		435.645 			-23.769892733257702		35.568884726017096
LAPAN-A2                		-55		307		435.880/145.825			-23.769892733257702		35.568884726017096
ATHENOXAT 1             		-48		42		437.485 			-23.769892733257702		35.568884726017096
GALASSIA                		-30		205		144.200/145.000			-23.769892733257702		35.568884726017096
VELOX 2                 		-37		80		145.930 			-23.769892733257702		35.568884726017096
HORYU-IV                		-45		325		437.375/2400.300*		-23.769892733257702		35.568884726017096
E-ST@R-II               		-28		356		437.485 			-23.769892733257702		35.568884726017096
AAUSAT 4                		-74		195		437.425 			-23.769892733257702		35.568884726017096
AIST-2D (RS-48)         		-88		226		435.3065-435.3235		-23.769892733257702		35.568884726017096
NUSAT-1 (FRESCO)        		-29		150		145.965-145.935			-23.769892733257702		35.568884726017096
NUSAT-2 (BATATA)        		-54		332		145.965-145.935			-23.769892733257702		35.568884726017096
LAPAN-A3                		-5		9		437.425 			-23.769892733257702		35.568884726017096
BIROS                   		-59		182		437.525 			-23.769892733257702		35.568884726017096
SWAYAM                  		-12		171		437.025 			-23.769892733257702		35.568884726017096
BEESAT-4                		-63		355		435.950 			-23.769892733257702		35.568884726017096
PINA 2B                 		-47		222		437.500/437.525			-23.769892733257702		35.568884726017096
CAS-2T & KS-1Q          		-59		27		435.615 			-23.769892733257702		35.568884726017096
KAIDUN 1                		-19		163		437.600 			-23.769892733257702		35.568884726017096
NAYIF-1 (EO-88)         		-21		169		145.990-145.960			-23.769892733257702		35.568884726017096
HAVELSAT                		-47		121		436.845 			-23.769892733257702		35.568884726017096
CXBN-2                  		-42		276		437.075 			-23.769892733257702		35.568884726017096
PHOENIX                 		-50		128		436.915 			-23.769892733257702		35.568884726017096
X-CUBESAT               		-45		271		437.020 			-23.769892733257702		35.568884726017096
QBEE50-LTU-OC           		-39		306		435.800 			-23.769892733257702		35.568884726017096
ZA-AEROSAT              		-35		334		437.195 			-23.769892733257702		35.568884726017096
SPACECUBE               		-46		239		436.880 			-23.769892733257702		35.568884726017096
NJUST-1                 		-37		1		436.570 			-23.769892733257702		35.568884726017096
LILACSAT-1              		-47		214		436.510 			-23.769892733257702		35.568884726017096
NSIGHT-1                		-58		107		435.900/2405.000		-23.769892733257702		35.568884726017096
SNUSAT-1                		-39		32		435.950 			-23.769892733257702		35.568884726017096
POLYITAN-2-SAU          		-50		201		436.600 			-23.769892733257702		35.568884726017096
SNUSAT-1B               		-50		179		436.090 			-23.769892733257702		35.568884726017096
ZHUHAI-1 02 (CAS 4B)    		-36		232		145.925 			-23.769892733257702		35.568884726017096
ZHUHAI-1 01 (CAS 4A)    		-49		76		145.870 			-23.769892733257702		35.568884726017096
NIUSAT                  		-22		5		436.000/2240.000		-23.769892733257702		35.568884726017096
LITUANICASAT-2          		-52		183		437.265 			-23.769892733257702		35.568884726017096
URSA MAIOR              		-81		190		435.950			-23.769892733257702		35.568884726017096
MAX VALIER SAT          		-1		174		145.860 			-23.769892733257702		35.568884726017096
SUCHAI                  		-26		179		437.225 			-23.769892733257702		35.568884726017096
VZLUSAT-1               		-46		1		437.240 			-23.769892733257702		35.568884726017096
ROBUSTA-1B              		-21		4		437.325 			-23.769892733257702		35.568884726017096
TOKI                    		-36		354		437.375 			-23.769892733257702		35.568884726017096
MAZAALAI (NUMSAT-1)     		-48		184		437.375 			-23.769892733257702		35.568884726017096
BRAC ONNESHA            		-37		0		437.375 			-23.769892733257702		35.568884726017096
NIGERIAEDUSAT-1         		-45		51		437.375 			-23.769892733257702		35.568884726017096
MAKERSAT 0              		-21		327						-23.769892733257702		35.568884726017096
RADFXSAT (FOX-1B)       		-15		114		145.960 			-23.769892733257702		35.568884726017096
INS-1C                  		-39		357		435.080			-23.769892733257702		35.568884726017096
2018-004Y               		-65		350		437.100 			-23.769892733257702		35.568884726017096
2018-004AA              		-78		196		437.465/2413.000		-23.769892733257702		35.568884726017096
FOX-1D (AO-92)          		-49		178		145.880 			-23.769892733257702		35.568884726017096
FENGMANIU-1 (FMN-1)     		-30		320		435.350 			-23.769892733257702		35.568884726017096
GOMX4-A                 		-67		181		400.800 			-23.769892733257702		35.568884726017096
SHAONIAN XING           		-44		296						-23.769892733257702		35.568884726017096
1KUNS-PF                		-23		231		437.300 			-23.769892733257702		35.568884726017096
BATSU-CS1 (IRAZU)       		-49		156		436.500 			-23.769892733257702		35.568884726017096
EQUISAT                 		-63		109		435.550 			-23.769892733257702		35.568884726017096
UITMSAT-1               		-64		58		145.825 			-23.769892733257702		35.568884726017096
MAYA-1                  		-62		40		145.825 			-23.769892733257702		35.568884726017096
BHUTAN-1                		-56		17		145.825 			-23.769892733257702		35.568884726017096
SIRIUSSAT-1             		-24		301		435.570 			-23.769892733257702		35.568884726017096
SIRIUSSAT-2             		-52		6		435.670 			-23.769892733257702		35.568884726017096
TANUSHA-3               		-26		208		437.050 			-23.769892733257702		35.568884726017096
SURFSAT                 		-75		271		437.275 			-23.769892733257702		35.568884726017096
CP-7 (DAVE)             		-75		274		437.150 			-23.769892733257702		35.568884726017096
ELFIN-B                 		-64		157		437.475 			-23.769892733257702		35.568884726017096
ELFIN-A                 		-57		149		437.450 			-23.769892733257702		35.568884726017096
1998-067PN              		-30		194		401.000/467.000			-23.769892733257702		35.568884726017096
CUBEBEL-1 (BSUSAT-1)    		-18		15		436.200 			-23.769892733257702		35.568884726017096
CHANGSHAGAOXIN (TY 4-01)		-57		202		435.925*/2409.000/5839.000		-23.769892733257702		35.568884726017096
TEN-KOH                 		-21		103		437.390* 			-23.769892733257702		35.568884726017096
DIWATA 2B               		-32		122		145.900 			-23.769892733257702		35.568884726017096
IRVINE01                		-16		200		437.800 			-23.769892733257702		35.568884726017096
FACSAT-1                		-66		183		437.350 			-23.769892733257702		35.568884726017096
REAKTOR HELLO WORLD     		-77		336		437.775/2410.000		-23.769892733257702		35.568884726017096
2018-099C               		-7		11		436.225/2404.000		-23.769892733257702		35.568884726017096
AISTECHSAT 2            		-55		347		436.730 			-23.769892733257702		35.568884726017096
FOX-1CLIFF (AO-95)      		-38		354		145.920 			-23.769892733257702		35.568884726017096
RANGE-A                 		-33		355		437.150 			-23.769892733257702		35.568884726017096
RANGE-B                 		-33		356		437.475 			-23.769892733257702		35.568884726017096
MOVE II                 		-21		1		145.950 			-23.769892733257702		35.568884726017096
2018-099Z               		-18		3		437.250 			-23.769892733257702		35.568884726017096
SNUSAT-2                		-14		5		437.625/2402.000		-23.769892733257702		35.568884726017096
2018-099AC              		-7		11		437.275 			-23.769892733257702		35.568884726017096
ITASAT 1                		-4		14		145.860/2400.150		-23.769892733257702		35.568884726017096
2018-099AF              		-3		16		435.500 			-23.769892733257702		35.568884726017096
EAGLET-I                		-7		153		435.200/435.800			-23.769892733257702		35.568884726017096
ESEO                    		-11		156		145.930/145.895			-23.769892733257702		35.568884726017096
CSIM-FD                 		-14		159		437.250 			-23.769892733257702		35.568884726017096
ASTROCAST 0.1           		-28		166		437.175/2406.000		-23.769892733257702		35.568884726017096
PW-SAT2                 		-15		4		435.275 			-23.769892733257702		35.568884726017096
CHOMPTT                 		-14		46		437.560 			-23.769892733257702		35.568884726017096
2018-104H               		-72		166		437.150 			-23.769892733257702		35.568884726017096
ISAT                    		-46		150		435.525 			-23.769892733257702		35.568884726017096
UWE-4                   		-38		148		437.375/437.385			-23.769892733257702		35.568884726017096
D-STAR ONE SPARROW      		-36		147		435.525 			-23.769892733257702		35.568884726017096
